title,price,description,date,location
Redmi note 7 pro,"₹ 6,999",Og display mint condition,2023-10-14T10:40:55+0000,"Vilarivilai, Keezhkulam, Tamil Nadu, India"
Best phone under 5000,"₹ 5,000",Redmi a2 4gb ram 64 gb storage,2023-10-14T10:40:52+0000,"Pandharpur, Nandgaonpeth MIDC, Maharashtra, India"
Iphone xr 64 GB with bill box,"₹ 19,500",No scratches no damage,2023-10-14T10:40:41+0000,"Andheri East, Mumbai, Maharashtra, India"
Airpods 2nd Generation pro,"₹ 4,350",Jay shree Shyam ❤️ Best offers  Original Airpods apple  No any problem  Very new condition  Battery backup 3days  No bill  Box and data cable available  Serious buyers contact me,2023-10-14T10:40:41+0000,"Sector 16, Noida, Uttar Pradesh, India"
iPhone 11 pro 64gb,"₹ 32,000",iPhone 11 Pro  Storage 64gb  Battery 89% True Tone working  Face ID working  One month warranty ha,2023-10-14T10:40:37+0000,"Vaishali, Ghaziabad, Uttar Pradesh, India"
Iphone se 1,"₹ 5,500",I phone se 1 No comolint Good and neat phone,2023-10-14T10:40:34+0000,"Thuravoor, Angamaly, Kerala, India"
iPhone X 256gb white,"₹ 25,000",Fully functional iPhone X with 256gb storage and 100% batter health. Nothing broken faceid working.,2023-09-15T12:04:42+0000,"Anandashray, Greater Noida, Uttar Pradesh, India"
Fold 4 12/256 storage,"₹ 79,000",12/256 storage Dotless condition Scratchless condition With store bill adaptor cable,2023-09-16T14:18:59+0000,"Vaishali Sector 4, Ghaziabad, Uttar Pradesh, India"
+9 Months Used IPhone 14Pro Max,"₹ 1,00,000",IPhone 14pro Max  +9 Month Used  256Gb Storage,2023-10-10T09:38:48+0000,"Banjara Hills, Hyderabad, Telangana, India"
Iphone also new models available box with also accsories available,"₹ 21,000",IPhone refurbished also models available box bill Accsories also includes & all colors available Call me now,2023-10-14T10:40:32+0000,"New Nagar, Morbi, Gujarat, India"
Vivo V17 Pro,"₹ 16,000",Colour - Midnight ocean Black Ram - 8GB and Rom - 128GB Phone doesn't have any damages or problem it is in fully working condition It has pop front camera,2023-10-14T10:40:32+0000,"Prakash Nagar, Indore, Madhya Pradesh, India"
Iphone 14 pro // Under warranty till Mar-24,"₹ 91,500",Newly condition Purple colour No scratch  99% battery health  With original apple charger No time pass….. pls. Call me if you are serious to buy.,2023-10-14T10:39:11+0000,"Shastri Nagar, Meerut, Uttar Pradesh, India"
3gb-32-rom,₹ 150,Koi problem nai hai,2023-10-14T10:39:02+0000,"Purani Basti, Korba, Chhattisgarh, India"
Only 1year yous,"₹ 6,000",My phone Jdodn,2023-10-14T10:38:52+0000,"Das Colony, Silchar, Assam, India"
Note 9 excellent condition,"₹ 8,000",4 GB RAM | 128 GB ROM | Expandable Upto 512 GB • 16.59 cm (6.53 inch) Full HD+ Display • 48MP + 8MP + 2MP + 2MP | 13MP Front Camera • 5020 mAh Battery,2023-10-14T10:38:51+0000,"Vijaynagar, Mysuru, Karnataka, India"
Redmi note 11t 5g 6+128gb 6 month old,"₹ 15,000",Redmi note 11t 5g 6month old,2023-10-14T10:38:47+0000,"Bankim Nagar, Ranaghat, West Bengal, India"
I wanna sell my brnd new iphone 13 pro 128 GB BH 89.,"₹ 63,000",I wanna sell my brand new condition iphone 13 pro 128 GB BH 89 without any single secrach if any body is interested thn call sevn ook six eight three six three six sevn or text.,2023-10-14T10:38:47+0000,"Sarai Bala, Srinagar, Jammu & Kashmir, India"
Poco F4 5G,"₹ 10,000",Good working condition mobile for sell 1 years used… in warranty 6 GB Ram 128 GB ROM,2023-10-14T10:38:45+0000,"Golawali N V, Thane, Maharashtra, India"
Realme narzo 30  mobile good condition no bill no charge,"₹ 7,000",Mani problem,2023-10-14T10:38:45+0000,"Asmangadh, Hyderabad, Telangana, India"
Redmi note 11 6/64,"₹ 8,500",6 months old All working device no debt no scratch,2023-10-14T10:38:44+0000,"Fatehpur, Chhutmalpur, Uttar Pradesh, India"
IPHONE AMAZING DEAL WITH 12 MONTH WARRANTY LATEST REFURBISHED,"₹ 22,000",WE DEAL IN ALL REFURBISHED TOP MODEL WITH WARRANTY BILL 12 MONTH   COD AVAILABLE CORIER CHARGES WILLBE APPLICABLE   WE HAVE APPLE PRODUCT DISTRIBUTER   WE HAVE MILLIONS OF INDIAN HAPPY CUSTOMER FROM MULTIPLE CITIES OF INDIA   DISPLAY SIZE.   6.7 INCH BATTERY HEALTH.  100%  BATERY : 3800 MAH CPU T8101 A 14BIONIC  RAM  6GB RAM  STORAGE. 256GB 512GB  CELLULAR RADIO :  (5G)  # WITH 7 days Return & Replacement policy  # 365 Days 24 Hours customer Support  # For Any Information About IPHONE CALL ME OR WHATSAAP ME ON GIVEN NUMBER,2023-10-14T10:38:40+0000,"Viola Colony, Dimapur, Nagaland, India"
"REDMI NOTE 10S 6GB,128GB IN VERY GOOD CONDITION","₹ 11,000",6GB RAM 128GB INTERNAL STORAGE 64MP BACK CAMERA 16MP FRONT CAMERA ORIGINAL SCREEN ORIGINAL BILL WITH CHARGER AND BOX VERY GOOD CONDITION  REASON FOR SELLING THAT I PURCHASE IPHONE 13,2023-10-14T10:38:38+0000,"Aishbagh, Lucknow, Uttar Pradesh, India"
"Samsung A14 5G 4-64GB,2 month old","₹ 11,500","Samsung A14 5G 4-64GB,2 month old along with Bill box cable.. selling for purchase Another Mobile",2023-10-14T10:38:34+0000,"West Apcar Garden, Asansol MC, West Bengal, India"
Samsung galaxy j7max 32GB storage,"₹ 3,500",Very good condition phone with Box,2023-10-14T10:38:25+0000,"Golakpur, Patna, Bihar, India"
